Code X_L2E Y_L2E
H5913020  595113.00 2415549.00
H5920010  602213.00 2427449.00
H5920011  602213.00 2427449.00
H5920014  602213.00 2427449.00
H5920030  598613.00 2429449.00
H6021010  792713.00 2449949.00
H6021020  788413.00 2455349.00
H6023210  788313.00 2453549.00
H6033210  781813.00 2455049.00
H6053010  792213.00 2463749.00
H6102010  810413.00 2444549.00
H6113010  800613.00 2464349.00
H6122010  796613.00 2473349.00
H6153010  788613.00 2486849.00
H6153020  788513.00 2490749.00
H6162010  786713.00 2484849.00
H6201010  778013.00 2481649.00
H6221010  759613.00 2501649.00
H6233010  741313.00 2505349.00
H6233020  741913.00 2506349.00
H6233110  743813.00 2513349.00
H6303810  728213.00 2492849.00
H6303820  729713.00 2493249.00
H6303840  738113.00 2492549.00
H6313010  744313.00 2479849.00
H6313020  722613.00 2488649.00
H6313030  742013.00 2480549.00
H6313210  751213.00 2473849.00
H6321010  715013.00 2490849.00
H6321011  713613.00 2490449.00
H6321012  714313.00 2490649.00
H6321020  707713.00 2490649.00
H6402010  747113.00 2456449.00
H6402020  739313.00 2463749.00
H6402030  730313.00 2469049.00
H6402040  735113.00 2466049.00
H6412010  719513.00 2475349.00
H6412020  715513.00 2476749.00
H6412030  723713.00 2472849.00
H6423010  697313.00 2479549.00
H6423020  705913.00 2471549.00
H6432010  686513.00 2482849.00
H6432011  683413.00 2487249.00
H6501020  672113.00 2488249.00
H6513010  671713.00 2485649.00
H6523532  661913.00 2487249.00
H6531010  637913.00 2492949.00
H6531011  644713.00 2490549.00
H7021010  724713.00 2548749.00
H7033010  721113.00 2545649.00
H7041010  698113.00 2545649.00
H7041025  695813.00 2545249.00
H7053010  694613.00 2555749.00
H7053110  701613.00 2557949.00
H7061010  682513.00 2538749.00
H7102010  729413.00 2525449.00
H7102020  721213.00 2523649.00
H7142010  696113.00 2521649.00
H7153010  699713.00 2522649.00
H7153210  694813.00 2516149.00
H7153220  695413.00 2511349.00
H7162010  682913.00 2522349.00
H7201010  668613.00 2514949.00
H7302010  696413.00 2497149.00
H7302020  687513.00 2499049.00
H7302030  693613.00 2496749.00
H7313110  696613.00 2503249.00
H7313120  697113.00 2502849.00
H7322010  686113.00 2500949.00
H7332010  662713.00 2508349.00
H7401010  647613.00 2507149.00
H7403810  648013.00 2508149.00
H7403820  647513.00 2510149.00
H7413210  645413.00 2506749.00
H7423710  637013.00 2493949.00
H7423735  625813.00 2498249.00
H7423740  622213.00 2499449.00
H7423745  620513.00 2500349.00
H7513010  631913.00 2478949.00
H7513030  650813.00 2471749.00
H7513610  637413.00 2474949.00
H7602010  609113.00 2476649.00
H7611010  609113.00 2473049.00
H7611012  620713.00 2479249.00
H7702010  573213.00 2501049.00
H7713010  575513.00 2503549.00
H7733010  579613.00 2492549.00
H7742010  582813.00 2491649.00
H7742020  603013.00 2473849.00
H7813010  615813.00 2466849.00
H7813210  625613.00 2456349.00
H7833010  604713.00 2461449.00
H7833020  604113.00 2461249.00
H7833030  604713.00 2461449.00
H7833520  604613.00 2459849.00
H7833530  607813.00 2457349.00
H7833540  605713.00 2459549.00
H7843010  590713.00 2466649.00
H7853010  587913.00 2458749.00
H7861010  584213.00 2451349.00
H7900010  578113.00 2437649.00
H7900015  578013.00 2437549.00
H7913010  565913.00 2429949.00
H7913020  566213.00 2428749.00
H7913030  563413.00 2437849.00
H7913035  563813.00 2436849.00
H7913210  568513.00 2421849.00
H7913410  564213.00 2421549.00
H7913610  563313.00 2424049.00
H7913620  564913.00 2423949.00
H7914020  568513.00 2426649.00
H7914030  566813.00 2428149.00
H7914110  575713.00 2427249.00
H7914120  568913.00 2429049.00
H8002010  546213.00 2511749.00
H8002020  549013.00 2509649.00
H8012010  555913.00 2497449.00
H8012020  558713.00 2480649.00
H8042010  549513.00 2458249.00
H8043310  552813.00 2461649.00
H8100021  537813.00 2455849.00
H8110010  519813.00 2479849.00
H8110011  519813.00 2479849.00
H8113410  534413.00 2472649.00
H8202010  538913.00 2509849.00
H8212010  530813.00 2494649.00
H9021010  522613.00 2383849.00
H9021020  536313.00 2376749.00
H9033310  533413.00 2386349.00
H9113001  545013.00 2402149.00
H9121010  534113.00 2411749.00
H9133040  526913.00 2412149.00
H9202010  509413.00 2418849.00
H9202020  489013.00 2412149.00
H9222010  527213.00 2420049.00
H9331010  517613.00 2458049.00
H9402010  507613.00 2435449.00
H9402020  476813.00 2414049.00
H9402030  513313.00 2454249.00
H9402040  487513.00 2420749.00
H9501010  515513.00 2470249.00
H9900010  509913.00 2493749.00
H9913010  512413.00 2507749.00
H9913020  506413.00 2499649.00
H9913030  519413.00 2509649.00
H9920010  483013.00 2504049.00
H9920011  483013.00 2504049.00
H9920012  483013.00 2504049.00
H9920013  483013.00 2504049.00
H9923010  495513.00 2501149.00
H9923020  497413.00 2503449.00
H9923090  493713.00 2499049.00
H9923310  496913.00 2503049.00
H9933410  483113.00 2504149.00
H9933420  483113.00 2504349.00
H9933430  483113.00 2504249.00
H9933440  480513.00 2507149.00
H9943410  469313.00 2503649.00
H9943420  466113.00 2507649.00
H9950010  451613.00 2494749.00
H9950011  451613.00 2494749.00
H9950012  451613.00 2494749.00
H9999990  602213.00 2427449.00
I0011010  470813.00 2418149.00
I0031010  488713.00 2449049.00
I0034010  472813.00 2430449.00
